Time Lag,rate_of_inflation,D_rate_of_inflation,D2_rate_of_inflation,MoneySupply,DMoneySupply,D2MoneySupply,MoneySupply_minus_inflation,D_money_supply_minus_inflation
1,-0.2630199800499017,-0.6623373973113199,-0.7674888180515653,0.9759042152519856,-0.15117586668146502,-0.5663304110137648,0.9751336319865878,-0.156109386428502
2,0.1443000934163909,0.2265651512281944,0.3530720168032646,0.9568549507181782,0.005219231579461444,0.07745896331229529,0.9550511261897716,0.020532056276348583
3,-0.02260608345179818,-0.06449777952932376,-0.11752779240060865,0.9350110444053095,0.006901326980713506,0.07023485812830574,0.9316783431052977,0.00200302345157715
4,-0.02656135849994236,0.031564284243905526,0.050223002130472955,0.9093158764583261,-0.2037664718782081,-0.23462323495715898,0.9043227885222496,-0.17797464856393205
5,-0.10755126408051918,-0.03298979345722093,-0.026460134514512956,0.8980703745911138,0.1731095280038164,0.224841122797625,0.8939402756842317,0.15995003426948753
6,-0.10601050856876211,-0.01350341379847903,0.009016701997679188,0.876841232260444,-0.0032859281674093104,-0.05973822713622762,0.8705267218721507,-0.013316288063894418
7,-0.0697244102745777,-0.017768816480647362,-0.028531860706716494,0.8549228549060196,-0.03542450431280809,0.0505751895509455,0.8467651682429725,-0.04050517793879452
8,0.009960065645482285,0.06611767916843656,0.08417504525174875,0.8317287998798956,-0.18196784110583855,-0.07780642796628366,0.8218229384316476,-0.18255975372840935
9,-0.07599544494216687,-0.1243986147510534,-0.14625159844654248,0.8213355253397462,-0.14096951753290077,-0.016435360153321702,0.8107672310457837,-0.13519950709102774
10,0.15120196114362416,0.16818975798985394,0.1773998057979627,0.8179197228895234,-0.06206349414996497,-0.09154179805979472,0.8075765118805461,-0.06409841399914482
11,-0.04553726430740696,-0.12772830652131614,-0.1453441800375916,0.8219910621133195,0.2124382642351908,0.18093505257116443,0.8116681682158857,0.23124758884850183
12,0.07978816274707896,0.06742639162073355,0.07824242572633153,0.8170731966808962,0.11020940745210371,-0.008776007014007776,0.8080286624738751,0.10378436021709816
